22	22	0.7239896	12	0	0	0	5
19	14	210.1829	15941	-0.1399935	1	1	7727
5	22	1745.132	88068	-0.5069413	1.99	1.99	43942
23	20	16.45076	1028	-0.5069413	2.9701	2.9701	506
19	0	1917.525	96456	-1.049841	3.940399	3.940399	48282
12	4	1918.075	96264	-1.669583	4.900995	4.900995	48129
12	11	735.2587	36802	-1.74325	5.851985	5.841985	18402
9	22	584.7318	33347	-1.798593	5.851985	0	16727
13	6	1686.822	89866	-2.487576	6.783565	6.783565	44990
23	13	29.70524	1747	-2.487576	7.715729	7.715729	874
24	10	39.70392	2339	-2.487576	8.638572	8.638572	1180
17	5	1238.68	64957	-2.918695	9.552186	9.552186	32512
6	21	400.2179	26900	-2.918695	10.45666	10.44666	13446
1	4	1059.26	67279	-3.478663	11.3422	11.3422	33651
9	21	248.8259	16034	-3.478663	12.22878	12.22878	8049
7	22	556.1674	30023	-3.478663	13.10649	13.10649	14999
19	10	346.0591	19562	-3.542866	13.97542	13.97542	9774
15	2	1109.62	62953	-3.951456	14.83567	14.83567	31499
1	1	1216.345	59479	-4.368338	15.68731	15.68731	29722
5	15	120.6466	6908	-4.368338	16.53044	16.53044	3453
22	23	1.488941	72	-4.368338	16.53044	0	34
17	8	602.1625	31340	-4.489701	17.36513	17.36513	15660
16	23	227.0968	13163	-4.489701	18.19148	18.19148	6595
2	15	79.13042	4339	-4.489701	19.00957	18.99957	2167
8	9	1206.662	64629	-4.998828	19.80957	19.79957	32293
17	24	245.5384	14573	-4.998828	20.60158	20.60158	7295
11	22	275.4006	16633	-4.998828	21.39556	21.39556	8325
23	23	7.796153	470	-4.998828	22.1816	22.1816	235
15	22	205.3984	12197	-4.998828	22.95979	22.95979	6103
1	7	1039.619	57286	-5.498506	23.73019	23.73019	28641
19	22	1.250234	75	-5.498506	24.49289	24.49289	35
9	6	938.4311	52864	-6.006805	25.24796	25.24796	26440
18	1	501.7354	30497	-6.078467	25.99548	25.99548	15215
9	3	911.025	53116	-6.647527	26.73553	26.73553	26565
15	21	244.8264	14958	-6.647527	27.46817	27.46817	7491
6	17	117.5603	6978	-6.647527	28.19349	28.18349	3474
16	4	481.3911	31476	-6.668957	28.90166	28.90166	15717
7	7	811.4649	51445	-7.21443	29.61264	29.61264	25726
19	10	261.4215	15595	-7.21443	30.31651	30.31651	7771
1	6	568.9047	35399	-7.380333	31.01335	31.01335	17709
2	6	613.2933	35404	-7.552945	31.70321	31.70321	17715
1	24	294.9383	19551	-7.552945	32.38618	32.38618	9779
16	5	549.9008	32174	-7.765248	33.06232	33.05232	16060
6	2	751.6268	44887	-8.33677	33.7218	33.7218	22470
18	13	203.4477	12173	-8.33677	33.7218	1	6057
4	22	269.5008	17225	-8.33677	34.38458	34.38458	8622
9	5	646.2287	38629	-8.658044	34.38458	1.99	19316
11	19	229.2959	14657	-8.658044	35.04073	35.04073	7346
0	19	198.4092	12879	-8.658044	35.69033	35.69033	6433
18	13	175.9038	10864	-8.658044	36.33342	36.33342	5426
19	12	230.0108	13581	-8.658044	36.97009	36.96009	6773
3	16	88.80885	5794	-8.658044	36.97009	2.9701	2904
11	14	153.8562	9029	-8.727757	37.59049	37.59049	4505
3	5	656.252	41415	-9.155016	38.21458	38.21458	20728
5	21	74.63905	4842	-9.155016	38.83244	38.82244	2403
1	16	16.675	1159	-9.155016	39.43422	39.43422	569
6	9	537.7009	33303	-9.296639	40.03988	40.03988	16609
12	8	600.8643	38996	-9.574616	40.63948	40.63948	19541
1	15	21.79362	1668	-9.574616	41.23308	41.23308	823
16	20	91.28882	7082	-9.574616	41.23308	0	3527
18	9	163.3887	12105	-9.574616	41.82075	41.82075	6003
20	9	249.3266	17476	-9.656461	42.40254	42.40254	8746
11	21	223.6361	17365	-9.656461	42.97852	42.97852	8692
20	5	366.5425	25534	-9.695381	43.54873	43.54873	12706
13	8	465.0174	33679	-10.008	43.54873	1	16879
24	16	27.507	2170	-10.008	44.11324	44.11324	1091
13	21	141.4756	10929	-10.008	44.67211	44.67211	5462
1	19	210.2458	15241	-10.008	45.22539	45.22539	7632
11	11	69.68757	4369	-10.008	45.77314	45.77314	2158
16	12	255.0805	15850	-10.03619	45.77314	3.940399	7911
14	4	344.6833	22937	-10.17597	46.3154	46.3154	11472
6	5	560.7141	40806	-10.60565	46.85225	46.85225	20384
17	4	338.8481	23879	-10.70496	47.38373	47.38373	11919
7	1	534.9702	34661	-11.14398	47.90989	47.90989	17364
8	15	69.94576	4691	-11.14398	48.43079	48.43079	2353
15	16	126.7882	7990	-11.14398	48.94648	48.94648	3968
18	16	195.8978	12058	-11.14398	49.45702	49.45702	6003
11	13	88.93459	5929	-11.14398	49.45702	4.900995	2952
16	13	125.4466	8391	-11.14398	49.96245	49.96245	4177
18	3	360.4706	21948	-11.2378	50.46282	50.45282	10946
24	3	323.8269	21312	-11.24286	50.9483	50.9483	10648
21	12	160.0773	11485	-11.24286	51.43881	51.43881	5723
10	2	704.1791	44576	-11.72994	51.92442	51.92442	22303
20	4	273.5818	17947	-11.81947	52.40518	52.40518	8954
12	11	51.02666	3689	-11.81947	52.88113	52.87113	1829
5	24	216.4765	16040	-11.81947	53.34242	53.34242	8044
4	24	165.9649	11902	-11.81947	53.80899	53.80899	5947
24	16	20.94151	1407	-11.81947	54.2709	54.2709	716
24	7	34.98637	2362	-11.81947	54.7282	54.7282	1202
15	1	360.4112	22803	-11.87423	55.18091	55.18091	11400
20	24	105.4603	8170	-11.87423	55.6291	55.61911	4093
23	5	290.5033	18890	-11.87423	56.06292	56.06292	9419
24	13	22.73434	1636	-11.87423	56.50229	56.50229	822
20	22	0.6164985	20	-11.87423	56.93726	56.93726	7
16	4	380.579	24006	-12.0487	57.36789	57.36789	11991
6	24	190.4907	13085	-12.0487	57.79421	57.79421	6554
0	5	584.5182	38215	-12.43344	58.21627	58.20627	19091
20	14	115.1408	7577	-12.43344	58.62421	58.61421	3772
15	14	70.05213	4929	-12.43344	59.02807	59.01807	2433
8	14	6.824996	473	-12.43344	59.42789	59.42789	232
13	7	504.5275	33226	-12.77414	59.83361	59.83361	16643
15	20	97.82516	6745	-12.77414	60.23528	60.23528	3373
14	3	383.1681	24142	-12.89326	60.63292	60.63292	12020
6	15	5.739872	435	-12.89326	61.02659	61.02659	211
5	3	495.7622	33209	-13.34936	61.41632	61.41632	16642
11	24	157.8276	10890	-13.34936	61.41632	2.203689	5442
18	5	267.6545	16954	-13.38239	61.80216	61.80216	8454
0	17	15.32749	1092	-13.38239	62.18414	62.18414	528
6	9	418.7881	27506	-13.55432	62.5623	62.5623	13750
13	15	78.67394	5314	-13.55432	62.93668	62.93668	2631
7	8	535.2992	35558	-14.02617	63.30731	63.30731	17774
23	11	21.83445	1579	-14.02617	63.67424	63.67424	800
8	20	37.75491	2731	-14.02617	64.03749	64.02749	1356
9	1	289.5703	18709	-14.06588	64.38721	64.37721	9350
20	22	0.3817525	10	-14.06588	64.73344	64.72343	3
12	7	440.6234	29059	-14.32202	65.0762	65.0762	14523
19	12	154.9787	10193	-14.32202	65.42544	65.42544	5091
10	19	163.34	11566	-14.32202	65.77119	65.77119	5792
0	10	416.938	27743	-14.57578	66.11347	66.11347	13864
23	4	182.1301	12083	-14.57578	66.45234	66.45234	6033
22	17	93.15396	6148	-14.57578	66.78782	66.78782	3058
1	16	19.8751	1425	-14.57578	67.11994	67.11994	707
21	2	28.29457	2077	-14.57578	67.44875	67.44875	1059
17	8	94.77311	6671	-14.57578	67.77426	67.77426	3313
19	22	0.8470755	42	-14.57578	68.09652	68.09652	16
23	14	18.64631	1334	-14.57578	68.41556	68.41556	664
1	2	372.4796	23868	-14.73517	68.7314	68.7314	11920
11	20	187.1222	13305	-14.73517	69.04408	69.04408	6639
14	1	223.3431	14653	-14.73517	69.35365	69.34364	7309
0	23	171.0006	12284	-14.73517	69.65021	69.65021	6170
5	14	16.90094	1229	-14.73517	69.9537	69.9437	601
10	11	25.72605	1850	-14.73517	70.24426	70.24426	912
14	7	482.3678	32101	-15.13223	70.54182	70.53181	16067
22	20	94.90117	6381	-15.13223	70.8265	1.145304	3184
0	12	407.536	26610	-15.32566	70.8265	70.8165	13285
18	19	6.250971	88	-5.847234	71.10833	71.10833	36
5	10	393.6808	25204	-15.55257	71.39725	71.39725	12584
